season,team,wins,cum_wins
2008,Chennai Super Kings,9,9
2009,Chennai Super Kings,8,17
2010,Chennai Super Kings,9,26
2011,Chennai Super Kings,11,37
2012,Chennai Super Kings,10,47
2013,Chennai Super Kings,12,59
2014,Chennai Super Kings,10,69
2015,Chennai Super Kings,10,79
2018,Chennai Super Kings,11,90
2019,Chennai Super Kings,10,100
2020,Chennai Super Kings,6,106
2021,Chennai Super Kings,11,117
2022,Chennai Super Kings,4,121
2023,Chennai Super Kings,10,131
2024,Chennai Super Kings,7,138
2025,Chennai Super Kings,4,142
2008,Deccan Chargers,2,2
2009,Deccan Chargers,9,11
2010,Deccan Chargers,8,19
2011,Deccan Chargers,6,25
2012,Deccan Chargers,4,29
2008,Delhi Capitals,7,7
2009,Delhi Capitals,10,17
2010,Delhi Capitals,7,24
2011,Delhi Capitals,4,28
2012,Delhi Capitals,11,39
2013,Delhi Capitals,3,42
2014,Delhi Capitals,2,44
2015,Delhi Capitals,5,49
2016,Delhi Capitals,7,56
2017,Delhi Capitals,6,62
2018,Delhi Capitals,5,67
2019,Delhi Capitals,9,76
2020,Delhi Capitals,8,84
2021,Delhi Capitals,9,93
2022,Delhi Capitals,7,100
2023,Delhi Capitals,5,105
2024,Delhi Capitals,7,112
2025,Delhi Capitals,6,118
2016,Gujarat Lions,9,9
2017,Gujarat Lions,4,13
2022,Gujarat Titans,12,12
2023,Gujarat Titans,11,23
2024,Gujarat Titans,5,28
2025,Gujarat Titans,9,37
2011,Kochi Tuskers Kerala,6,6
2008,Kolkata Knight Riders,6,6
2009,Kolkata Knight Riders,3,9
2010,Kolkata Knight Riders,7,16
2011,Kolkata Knight Riders,8,24
2012,Kolkata Knight Riders,12,36
2013,Kolkata Knight Riders,6,42
2014,Kolkata Knight Riders,11,53
2015,Kolkata Knight Riders,7,60
2016,Kolkata Knight Riders,8,68
2017,Kolkata Knight Riders,9,77
2018,Kolkata Knight Riders,9,86
2019,Kolkata Knight Riders,6,92
2020,Kolkata Knight Riders,6,98
2021,Kolkata Knight Riders,9,107
2022,Kolkata Knight Riders,6,113
2023,Kolkata Knight Riders,6,119
2024,Kolkata Knight Riders,11,130
2025,Kolkata Knight Riders,5,135
2022,Lucknow Super Giants,9,9
2023,Lucknow Super Giants,8,17
2024,Lucknow Super Giants,7,24
2025,Lucknow Super Giants,6,30
2008,Mumbai Indians,7,7
2009,Mumbai Indians,5,12
2010,Mumbai Indians,11,23
2011,Mumbai Indians,10,33
2012,Mumbai Indians,10,43
2013,Mumbai Indians,13,56
2014,Mumbai Indians,7,63
2015,Mumbai Indians,10,73
2016,Mumbai Indians,7,80
2017,Mumbai Indians,11,91
2018,Mumbai Indians,6,97
2019,Mumbai Indians,10,107
2020,Mumbai Indians,11,118
2021,Mumbai Indians,7,125
2022,Mumbai Indians,4,129
2023,Mumbai Indians,9,138
2024,Mumbai Indians,4,142
2025,Mumbai Indians,9,151
2011,Pune Warriors,4,4
2012,Pune Warriors,4,8
2013,Pune Warriors,4,12
2008,Punjab Kings,10,10
2009,Punjab Kings,7,17
2010,Punjab Kings,3,20
2011,Punjab Kings,7,27
2012,Punjab Kings,8,35
2013,Punjab Kings,8,43
2014,Punjab Kings,12,55
2015,Punjab Kings,2,57
2016,Punjab Kings,4,61
2017,Punjab Kings,7,68
2018,Punjab Kings,6,74
2019,Punjab Kings,6,80
2020,Punjab Kings,5,85
2021,Punjab Kings,6,91
2022,Punjab Kings,7,98
2023,Punjab Kings,6,104
2024,Punjab Kings,5,109
2025,Punjab Kings,10,119
2008,Rajasthan Royals,13,13
2009,Rajasthan Royals,5,18
2010,Rajasthan Royals,6,24
2011,Rajasthan Royals,6,30
2012,Rajasthan Royals,7,37
2013,Rajasthan Royals,11,48
2014,Rajasthan Royals,6,54
2015,Rajasthan Royals,7,61
2018,Rajasthan Royals,7,68
2019,Rajasthan Royals,5,73
2020,Rajasthan Royals,6,79
2021,Rajasthan Royals,5,84
2022,Rajasthan Royals,10,94
2023,Rajasthan Royals,7,101
2024,Rajasthan Royals,9,110
2025,Rajasthan Royals,4,114
2016,Rising Pune Supergiants,5,5
2017,Rising Pune Supergiants,10,15
2008,Royal Challengers Bangalore,4,4
2009,Royal Challengers Bangalore,9,13
2010,Royal Challengers Bangalore,8,21
2011,Royal Challengers Bangalore,10,31
2012,Royal Challengers Bangalore,8,39
2013,Royal Challengers Bangalore,8,47
2014,Royal Challengers Bangalore,5,52
2015,Royal Challengers Bangalore,8,60
2016,Royal Challengers Bangalore,9,69
2017,Royal Challengers Bangalore,3,72
2018,Royal Challengers Bangalore,6,78
2019,Royal Challengers Bangalore,5,83
2020,Royal Challengers Bangalore,6,89
2021,Royal Challengers Bangalore,9,98
2022,Royal Challengers Bangalore,9,107
2023,Royal Challengers Bangalore,7,114
2024,Royal Challengers Bengaluru,7,7
2025,Royal Challengers Bengaluru,11,18
2013,Sunrisers Hyderabad,9,9
2014,Sunrisers Hyderabad,6,15
2015,Sunrisers Hyderabad,7,22
2016,Sunrisers Hyderabad,11,33
2017,Sunrisers Hyderabad,8,41
2018,Sunrisers Hyderabad,10,51
2019,Sunrisers Hyderabad,6,57
2020,Sunrisers Hyderabad,8,65
2021,Sunrisers Hyderabad,3,68
2022,Sunrisers Hyderabad,6,74
2023,Sunrisers Hyderabad,4,78
2024,Sunrisers Hyderabad,9,87
2025,Sunrisers Hyderabad,6,93
