season,winner
2017,Sunrisers Hyderabad
2017,Rising Pune Supergiant
2017,Kolkata Knight Riders
2017,Kings XI Punjab
2017,Royal Challengers Bangalore
2017,Sunrisers Hyderabad
2017,Mumbai Indians
2017,Kings XI Punjab
2017,Delhi Daredevils
2017,Mumbai Indians
2017,Kolkata Knight Riders
2017,Mumbai Indians
2017,Gujarat Lions
2017,Kolkata Knight Riders
2017,Delhi Daredevils
2017,Mumbai Indians
2017,Rising Pune Supergiant
2017,Kolkata Knight Riders
2017,Sunrisers Hyderabad
2017,Royal Challengers Bangalore
2017,Sunrisers Hyderabad
2017,Mumbai Indians
2017,Gujarat Lions
2017,Mumbai Indians
2017,Rising Pune Supergiant
2017,Kings XI Punjab
2017,Kolkata Knight Riders
2017,Rising Pune Supergiant
2017,Kolkata Knight Riders
2017,Gujarat Lions
2017,Kolkata Knight Riders
2017,Sunrisers Hyderabad
2017,Rising Pune Supergiant
2017,Kings XI Punjab
2017,Sunrisers Hyderabad
2017,Mumbai Indians
2017,Rising Pune Supergiant
2017,Delhi Daredevils
2017,Rising Pune Supergiant
2017,Delhi Daredevils
2017,Kings XI Punjab
2017,Rising Pune Supergiant
2017,Mumbai Indians
2017,Kolkata Knight Riders
2017,Gujarat Lions
2017,Sunrisers Hyderabad
2017,Kings XI Punjab
2017,Delhi Daredevils
2017,Kings XI Punjab
2017,Delhi Daredevils
2017,Sunrisers Hyderabad
2017,Mumbai Indians
2017,Rising Pune Supergiant
2017,Royal Challengers Bangalore
2017,Rising Pune Supergiant
2017,Kolkata Knight Riders
2017,Mumbai Indians
2017,Mumbai Indians
2018,Chennai Super Kings
2018,Kings XI Punjab
2018,Kolkata Knight Riders
2018,Sunrisers Hyderabad
2018,Chennai Super Kings
2018,Rajasthan Royals
2018,Sunrisers Hyderabad
2018,Royal Challengers Bangalore
2018,Delhi Daredevils
2018,Sunrisers Hyderabad
2018,Rajasthan Royals
2018,Kings XI Punjab
2018,Kolkata Knight Riders
2018,Mumbai Indians
2018,Kolkata Knight Riders
2018,Kings XI Punjab
2018,Chennai Super Kings
2018,Kings XI Punjab
2018,Royal Challengers Bangalore
2018,Chennai Super Kings
2018,Rajasthan Royals
2018,Kings XI Punjab
2018,Sunrisers Hyderabad
2018,Chennai Super Kings
2018,Sunrisers Hyderabad
2018,Delhi Daredevils
2018,Mumbai Indians
2018,Sunrisers Hyderabad
2018,Kolkata Knight Riders
2018,Chennai Super Kings
2018,Royal Challengers Bangalore
2018,Delhi Daredevils
2018,Kolkata Knight Riders
2018,Mumbai Indians
2018,Chennai Super Kings
2018,Sunrisers Hyderabad
2018,Mumbai Indians
2018,Kings XI Punjab
2018,Sunrisers Hyderabad
2018,Rajasthan Royals
2018,Mumbai Indians
2018,Sunrisers Hyderabad
2018,Rajasthan Royals
2018,Kolkata Knight Riders
2018,Royal Challengers Bangalore
2018,Chennai Super Kings
2018,Rajasthan Royals
2018,Royal Challengers Bangalore
2018,Kolkata Knight Riders
2018,Mumbai Indians
2018,Royal Challengers Bangalore
2018,Delhi Daredevils
2018,Rajasthan Royals
2018,Kolkata Knight Riders
2018,Delhi Daredevils
2018,Chennai Super Kings
2018,Chennai Super Kings
2018,Kolkata Knight Riders
2018,Sunrisers Hyderabad
2018,Chennai Super Kings
2019,Chennai Super Kings
2019,Kolkata Knight Riders
2019,Delhi Capitals
2019,Kings XI Punjab
2019,Chennai Super Kings
2019,Kolkata Knight Riders
2019,Mumbai Indians
2019,Sunrisers Hyderabad
2019,Kings XI Punjab
2019,Sunrisers Hyderabad
2019,Chennai Super Kings
2019,Kings XI Punjab
2019,Rajasthan Royals
2019,Mumbai Indians
2019,Sunrisers Hyderabad
2019,Kolkata Knight Riders
2019,Chennai Super Kings
2019,Mumbai Indians
2019,Delhi Capitals
2019,Kolkata Knight Riders
2019,Kings XI Punjab
2019,Chennai Super Kings
2019,Mumbai Indians
2019,Chennai Super Kings
2019,Delhi Capitals
2019,Rajasthan Royals
2019,Royal Challengers Bangalore
2019,Chennai Super Kings
2019,Delhi Capitals
2019,Mumbai Indians
2019,Kings XI Punjab
2019,Sunrisers Hyderabad
2019,Mumbai Indians
2019,Royal Challengers Bangalore
2019,Rajasthan Royals
2019,Delhi Capitals
2019,Sunrisers Hyderabad
2019,Royal Challengers Bangalore
2019,Delhi Capitals
2019,Chennai Super Kings
2019,Royal Challengers Bangalore
2019,Rajasthan Royals
2019,Mumbai Indians
2019,Rajasthan Royals
2019,Delhi Capitals
2019,Kolkata Knight Riders
2019,Sunrisers Hyderabad
2019,Chennai Super Kings
2019,Kolkata Knight Riders
2019,Delhi Capitals
2019,Royal Challengers Bangalore
2019,Kings XI Punjab
2019,Mumbai Indians
2019,Mumbai Indians
2019,Delhi Capitals
2019,Chennai Super Kings
2019,Mumbai Indians
2020,Chennai Super Kings
2020,Royal Challengers Bangalore
2020,Sunrisers Hyderabad
2020,Rajasthan Royals
2020,Kolkata Knight Riders
2020,Kings XI Punjab
2020,Mumbai Indians
2020,Delhi Capitals
2020,Kolkata Knight Riders
2020,Sunrisers Hyderabad
2020,Mumbai Indians
2020,Kolkata Knight Riders
2020,Delhi Capitals
2020,Chennai Super Kings
2020,Rajasthan Royals
2020,Mumbai Indians
2020,Delhi Capitals
2020,Kings XI Punjab
2020,Mumbai Indians
2020,Chennai Super Kings
2020,Royal Challengers Bangalore
2020,Delhi Capitals
2020,Sunrisers Hyderabad
2020,Sunrisers Hyderabad
2020,Delhi Capitals
2020,Kings XI Punjab
2020,Mumbai Indians
2020,Royal Challengers Bangalore
2020,Kolkata Knight Riders
2020,Sunrisers Hyderabad
2020,Royal Challengers Bangalore
2020,Mumbai Indians
2020,Rajasthan Royals
2020,Chennai Super Kings
2020,Mumbai Indians
2020,Kolkata Knight Riders
2020,Kings XI Punjab
2020,Sunrisers Hyderabad
2020,Rajasthan Royals
2020,Royal Challengers Bangalore
2020,Mumbai Indians
2020,Chennai Super Kings
2020,Rajasthan Royals
2020,Mumbai Indians
2020,Delhi Capitals
2020,Royal Challengers Bangalore
2020,Rajasthan Royals
2020,Sunrisers Hyderabad
2020,Delhi Capitals
2020,Chennai Super Kings
2020,Kolkata Knight Riders
2020,Kings XI Punjab
2020,Mumbai Indians
2020,Sunrisers Hyderabad
2020,Delhi Capitals
2020,Mumbai Indians
2021,Royal Challengers Bangalore
2021,Delhi Capitals
2021,Kolkata Knight Riders
2021,Punjab Kings
2021,Mumbai Indians
2021,Royal Challengers Bangalore
2021,Rajasthan Royals
2021,Chennai Super Kings
2021,Mumbai Indians
2021,Royal Challengers Bangalore
2021,Delhi Capitals
2021,Chennai Super Kings
2021,Delhi Capitals
2021,Sunrisers Hyderabad
2021,Chennai Super Kings
2021,Royal Challengers Bangalore
2021,Punjab Kings
2021,Rajasthan Royals
2021,Chennai Super Kings
2021,Kolkata Knight Riders
2021,Royal Challengers Bangalore
2021,Chennai Super Kings
2021,Mumbai Indians
2021,Delhi Capitals
2021,Punjab Kings
2021,Mumbai Indians
2021,Rajasthan Royals
2021,Delhi Capitals
2021,Kolkata Knight Riders
2021,Mumbai Indians
2021,Rajasthan Royals
2021,Royal Challengers Bangalore
2021,Chennai Super Kings
2021,Kolkata Knight Riders
2021,Mumbai Indians
2021,Punjab Kings
2021,Sunrisers Hyderabad
2021,Kolkata Knight Riders
2021,Delhi Capitals
2021,Chennai Super Kings
2021,Mumbai Indians
2021,Sunrisers Hyderabad
2021,Royal Challengers Bangalore
2021,Punjab Kings
2021,Royal Challengers Bangalore
2021,Chennai Super Kings
2021,Delhi Capitals
2021,Kolkata Knight Riders
2021,Punjab Kings
2021,Royal Challengers Bangalore
2021,Kolkata Knight Riders
2021,Delhi Capitals
2021,Rajasthan Royals
2021,Delhi Capitals
2021,Chennai Super Kings
2021,Chennai Super Kings
2021,Kolkata Knight Riders
2021,Kolkata Knight Riders
2021,Chennai Super Kings
2022,Kolkata Knight Riders
2022,Delhi Capitals
2022,Punjab Kings
2022,Gujarat Titans
2022,Rajasthan Royals
2022,Royal Challengers Bangalore
2022,Lucknow Super Giants
2022,Kolkata Knight Riders
2022,Rajasthan Royals
2022,Gujarat Titans
2022,Punjab Kings
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Kolkata Knight Riders
2022,Lucknow Super Giants
2022,Gujarat Titans
2022,Sunrisers Hyderabad
2022,Royal Challengers Bangalore
2022,Delhi Capitals
2022,Rajasthan Royals
2022,Sunrisers Hyderabad
2022,Chennai Super Kings
2022,Punjab Kings
2022,Gujarat Titans
2022,Sunrisers Hyderabad
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Sunrisers Hyderabad
2022,Gujarat Titans
2022,Rajasthan Royals
2022,Royal Challengers Bangalore
2022,Delhi Capitals
2022,Chennai Super Kings
2022,Rajasthan Royals
2022,Gujarat Titans
2022,Sunrisers Hyderabad
2022,Lucknow Super Giants
2022,Punjab Kings
2022,Rajasthan Royals
2022,Gujarat Titans
2022,Delhi Capitals
2022,Lucknow Super Giants
2022,Gujarat Titans
2022,Mumbai Indians
2022,Lucknow Super Giants
2022,Chennai Super Kings
2022,Kolkata Knight Riders
2022,Punjab Kings
2022,Royal Challengers Bangalore
2022,Delhi Capitals
2022,Mumbai Indians
2022,Rajasthan Royals
2022,Lucknow Super Giants
2022,Royal Challengers Bangalore
2022,Chennai Super Kings
2022,Kolkata Knight Riders
